order_item_id,order_id,item_name,quantity,price
1,655,Masala Dosa,1,465.61
2,251,Veg Fried Rice,2,462.97
3,693,Chocolate Brownie,5,125.21
4,433,Chicken Biryani,1,128.72
5,239,Idli Sambhar,5,93.8
6,204,Ice Cream Sundae,5,298.15
7,460,Pav Bhaji,3,500.9
8,7,Cold Coffee,2,443.03
9,349,Hakka Noodles,2,191.96
10,782,Farmhouse Pizza,1,128.23
11,100,Veg Burger,3,393.94
12,827,Chicken Biryani,4,358.84
13,997,Tandoori Roti,4,120.98
14,301,Lassi,5,540.43
15,371,Pav Bhaji,2,446.38
16,47,Rasgulla,2,482.0
17,82,Samosa,2,530.57
18,390,Hakka Noodles,4,410.56
19,374,Dal Tadka,3,264.74
20,687,Hakka Noodles,1,396.75
21,176,Vada Pav,2,164.97
22,389,Hakka Noodles,5,194.2
23,333,Lassi,1,199.1
24,33,Mango Shake,3,288.61
25,68,Chicken Tikka,5,535.71
26,323,Chicken Tikka,4,285.73
27,937,Gulab Jamun,4,154.29
28,143,Veg Fried Rice,5,360.27
29,765,Pav Bhaji,4,546.87
30,409,Veg Burger,2,598.61
31,142,Idli Sambhar,4,127.27
32,49,Samosa,1,159.48
33,164,Mango Shake,4,390.13
34,395,Chicken Burger,5,597.98
35,542,Hakka Noodles,5,527.61
36,12,Rasgulla,1,434.49
37,550,Cold Coffee,3,479.67
38,349,Masala Dosa,3,306.08
39,465,Paneer Butter Masala,3,585.38
40,781,Dal Tadka,5,554.57
41,892,Gulab Jamun,3,517.67
42,520,Momos,2,159.48
43,781,Dal Tadka,5,575.82
44,945,Idli Sambhar,1,391.45
45,501,Paneer Butter Masala,1,563.13
46,900,Lassi,3,204.52
47,247,Kathi Roll,5,572.41
48,88,Chocolate Brownie,4,504.33
49,779,Vada Pav,2,146.76
50,487,Vada Pav,2,217.83
51,894,Momos,4,581.47
52,952,Vada Pav,2,450.73
53,409,Rasgulla,3,307.81
54,530,Chole Bhature,1,208.91
55,66,Farmhouse Pizza,1,385.92
56,236,Pav Bhaji,2,83.74
57,725,Gulab Jamun,1,199.05
58,928,Chicken Biryani,3,116.85
59,244,Hakka Noodles,4,191.4
60,136,Chocolate Brownie,5,379.63
61,249,Mango Shake,4,499.9
62,195,Masala Dosa,1,422.67
63,363,French Fries,4,322.85
64,747,Chicken Biryani,1,111.52
65,746,Farmhouse Pizza,1,209.3
66,195,Vada Pav,4,152.89
67,188,Hakka Noodles,4,209.9
68,946,Veg Biryani,4,500.17
69,877,Vada Pav,1,106.31
70,554,Lassi,1,583.88
71,949,Cold Coffee,2,166.48
72,498,Rajma Chawal,2,529.62
73,925,Chicken Biryani,2,277.07
74,400,Hakka Noodles,4,228.33
75,714,Chocolate Brownie,5,424.17
76,499,Butter Naan,2,234.29
77,992,Chicken Biryani,5,462.58
78,63,Chocolate Brownie,3,109.73
79,599,Rajma Chawal,5,558.08
80,544,Dal Tadka,1,579.61
81,83,Samosa,2,115.63
82,70,Rasgulla,2,289.96
83,965,Kathi Roll,5,208.03
84,609,Chicken Biryani,5,122.63
85,674,Pav Bhaji,5,351.85
86,958,Hakka Noodles,2,428.26
87,322,Veg Fried Rice,3,285.81
88,688,Gulab Jamun,3,317.76
89,952,Cold Coffee,1,84.84
90,637,Pav Bhaji,1,118.1
91,219,Idli Sambhar,3,148.88
92,358,Kathi Roll,1,537.22
93,379,Margherita Pizza,2,307.86
94,557,Ice Cream Sundae,3,398.07
95,827,Gulab Jamun,5,84.07
96,837,Vada Pav,3,564.51
97,107,Kathi Roll,2,217.52
98,912,Masala Dosa,5,160.83
99,289,Momos,2,453.16
100,209,Rasgulla,3,342.81
101,258,Kathi Roll,1,128.0
102,434,Lassi,3,102.93
103,342,Cold Coffee,2,411.3
104,269,Dal Tadka,4,366.87
105,438,Vada Pav,1,138.17
106,968,Kathi Roll,2,363.71
107,855,Veg Burger,5,367.31
108,441,Butter Naan,1,240.29
109,921,Tandoori Roti,1,547.44
110,216,Rasgulla,2,426.81
111,363,Cold Coffee,5,539.75
112,417,Momos,2,561.4
113,243,Samosa,2,587.63
114,831,Dal Tadka,4,92.89
115,755,Tandoori Roti,3,486.84
116,422,Mango Shake,2,218.74
117,807,Ice Cream Sundae,1,278.92
118,40,Samosa,4,195.67
119,837,Tandoori Roti,4,261.82
120,841,Mango Shake,2,195.92
121,676,Chicken Tikka,4,250.7
122,886,Veg Biryani,3,262.6
123,522,Chicken Burger,5,252.2
124,29,Masala Dosa,3,172.86
125,986,Hakka Noodles,1,136.37
126,445,Veg Burger,3,306.92
127,524,Masala Dosa,4,547.74
128,195,Hakka Noodles,1,448.57
129,2,Idli Sambhar,5,437.17
130,963,Chocolate Brownie,2,269.4
131,72,Rasgulla,3,404.04
132,680,Samosa,1,454.27
133,308,Idli Sambhar,3,426.78
134,335,Chicken Burger,3,368.29
135,197,French Fries,4,432.21
136,925,Dal Tadka,5,375.93
137,416,Vada Pav,1,238.01
138,216,French Fries,5,395.46
139,330,Chole Bhature,4,309.92
140,219,Idli Sambhar,4,492.74
141,983,Mango Shake,2,422.6
142,291,Idli Sambhar,5,254.3
143,839,Cold Coffee,2,429.85
