restaurant_id,restaurant_name,city,cuisine,rating
1,Chai & Chat 1,Delhi,Indian,4.5
2,The Curry Leaf 2,Mumbai,Chinese,4.5
3,South Spice 3,Kolkata,Indian,4.2
4,Royal Tandoor 4,Delhi,Indian,3.4
5,The Hungry Panda 5,Kolkata,Indian,4.1
6,Madras Cafe 6,Kolkata,Fast Food,3.4
7,Dragon Wok 7,Bangalore,Indian,4.5
8,Bombay Bistro 8,Chennai,Italian,3.6
9,Delhi Darbar 9,Bangalore,Indian,3.2
10,Curry Kingdom 10,Bangalore,Italian,4.2
11,Punjabi Dhaba 11,Delhi,Desserts,3.9
12,Curry Kingdom 12,Chennai,Indian,4.1
13,Rasoi Ghar 13,Kolkata,Italian,4.2
14,Madras Cafe 14,Delhi,Indian,4.3
15,Mumbai Masala 15,Bangalore,Indian,4.7
16,Taste of Punjab 16,Delhi,Fast Food,3.6
17,Chai & Chat 17,Bangalore,Chinese,3.7
18,Delhi Darbar 18,Bangalore,Desserts,4.9
19,Chai & Chat 19,Delhi,South Indian,4.3
20,Pizza Junction 20,Mumbai,Chinese,3.9
21,Masala Magic 21,Kolkata,Chinese,4.4
22,Rasoi Ghar 22,Delhi,Chinese,4.6
23,Punjabi Dhaba 23,Bangalore,Fast Food,3.5
24,Delhi Darbar 24,Kolkata,Desserts,3.6
25,Chai & Chat 25,Chennai,Fast Food,4.8
26,Chai & Chat 26,Chennai,Chinese,3.5
27,The Curry Leaf 27,Kolkata,South Indian,3.5
28,Dragon Wok 28,Chennai,South Indian,3.8
29,The Curry Leaf 29,Mumbai,South Indian,4.0
30,Mumbai Masala 30,Delhi,Indian,3.3
31,Bombay Bistro 31,Chennai,South Indian,3.1
32,Annapurna Bhavan 32,Kolkata,Fast Food,4.1
33,Pizza Junction 33,Delhi,Desserts,4.4
34,South Spice 34,Kolkata,Italian,4.5
35,Flavours of India 35,Delhi,Italian,3.9
36,Mughal Mahal 36,Delhi,Desserts,4.8
37,Masala Magic 37,Kolkata,Chinese,4.0
38,Curry Kingdom 38,Bangalore,Desserts,4.0
39,Delhi Darbar 39,Mumbai,Italian,4.5
40,Pizza Junction 40,Kolkata,Indian,4.2
41,Golden Spoon 41,Delhi,Indian,4.9
42,The Food Studio 42,Bangalore,Chinese,3.1
43,The Food Studio 43,Kolkata,Indian,3.2
44,Golden Spoon 44,Delhi,South Indian,4.5
45,Saffron Delight 45,Chennai,South Indian,3.3
46,The Hungry Panda 46,Kolkata,Fast Food,4.9
47,Café Masaledar 47,Kolkata,Desserts,4.4
48,Madras Cafe 48,Bangalore,Fast Food,5.0
49,Chai & Chat 49,Bangalore,Fast Food,4.8
50,Mughal Mahal 50,Delhi,Chinese,3.4
51,Flavours of India 51,Delhi,South Indian,4.1
52,Dragon Wok 52,Mumbai,Indian,3.1
53,Chai & Chat 53,Delhi,Chinese,3.1
54,Royal Tandoor 54,Bangalore,Indian,4.0
55,Masala Magic 55,Chennai,Chinese,4.1
56,Kolkata Kitchen 56,Kolkata,South Indian,3.9
57,Punjabi Dhaba 57,Chennai,Fast Food,3.4
58,Curry Kingdom 58,Chennai,Italian,3.8
59,Mughal Mahal 59,Delhi,Desserts,4.3
60,Chai & Chat 60,Delhi,Indian,3.8
61,Flavours of India 61,Delhi,Chinese,3.4
62,Pizza Junction 62,Chennai,Chinese,3.8
63,Masala Magic 63,Chennai,Chinese,4.7
64,Biryani House 64,Chennai,South Indian,3.2
65,Chai & Chat 65,Kolkata,Indian,4.9
66,Café Masaledar 66,Mumbai,Chinese,3.8
67,Golden Spoon 67,Mumbai,Fast Food,4.8
68,Bombay Bistro 68,Chennai,Indian,5.0
69,Masala Magic 69,Chennai,Italian,3.8
70,Kolkata Kitchen 70,Kolkata,Desserts,4.4
71,Saffron Delight 71,Mumbai,Italian,3.4
72,Royal Tandoor 72,Kolkata,Desserts,4.1
73,Kolkata Kitchen 73,Bangalore,Indian,3.1
74,Golden Spoon 74,Kolkata,South Indian,3.3
75,The Hungry Panda 75,Delhi,Chinese,3.1
76,Biryani House 76,Mumbai,Fast Food,3.2
77,The Food Studio 77,Kolkata,Chinese,4.2
78,Royal Tandoor 78,Kolkata,Indian,3.8
79,Dragon Wok 79,Kolkata,South Indian,3.6
80,Masala Magic 80,Mumbai,Desserts,4.4
81,The Curry Leaf 81,Bangalore,Fast Food,3.3
82,Chai & Chat 82,Bangalore,Fast Food,3.6
83,Mumbai Masala 83,Delhi,Indian,3.9
84,Dragon Wok 84,Delhi,Indian,4.1
85,The Hungry Panda 85,Bangalore,Chinese,4.9
86,The Food Studio 86,Delhi,Chinese,3.7
87,Bombay Bistro 87,Chennai,South Indian,4.4
88,Burger Factory 88,Kolkata,Indian,4.3
89,Pizza Junction 89,Bangalore,Desserts,3.2
90,The Food Studio 90,Mumbai,Italian,3.2
91,Curry Kingdom 91,Kolkata,Chinese,3.5
92,Burger Factory 92,Mumbai,Desserts,3.7
93,South Spice 93,Bangalore,South Indian,4.0
94,The Food Studio 94,Delhi,Indian,4.3
95,Rasoi Ghar 95,Bangalore,Indian,3.0
96,Mumbai Masala 96,Mumbai,Desserts,5.0
97,Bombay Bistro 97,Chennai,South Indian,4.4
98,Pizza Junction 98,Delhi,Indian,3.2
99,The Food Studio 99,Mumbai,South Indian,3.1
100,Chutney Express 100,Kolkata,South Indian,3.3
101,Saffron Delight 101,Delhi,Italian,3.7
102,Café Masaledar 102,Delhi,Italian,3.4
103,The Curry Leaf 103,Delhi,Italian,4.6
104,The Food Studio 104,Chennai,South Indian,4.5
105,Café Masaledar 105,Mumbai,Chinese,5.0
106,Punjabi Dhaba 106,Mumbai,Fast Food,3.0
107,Kolkata Kitchen 107,Bangalore,Fast Food,4.6
108,Taste of Punjab 108,Mumbai,Italian,3.3
109,Madras Cafe 109,Delhi,Fast Food,4.7
110,Taste of Punjab 110,Chennai,Chinese,3.4
111,Café Masaledar 111,Chennai,Italian,3.6
